Id,smiles
0,CCN1CC[C@@H](c2ccccc2)[C@H](C(=O)OC2CCCCC2)C1
1,CCCCCCCCCCOC(=O)C1=C(c2ccccc2)CCN(CC)C1
2,C[N+]1(CC(=O)c2cccc(F)c2)CC[C@@H](N2CC(c3ccc(F)cc3)(c3ccc(F)cc3)NC2=O)C1
3,C#CC(C)O/N=C1\CN2CCC1C2
4,CCN1CCN(c2ccc(NC(=O)c3cc(C(F)(F)F)ccc3C(F)(F)F)cc2Cl)CC1
5,CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC[N+](C)(Cc2ccc(Cl)cc2)Cc2ccc(Cl)cc2)cc1
6,CN1[C@@H]2CC[C@@H]1CC(CC(CNS(C)(=O)=O)(c1ccccc1)c1ccccc1)C2
7,CO/N=C(\C#N)[C@H]1CN2CC[C@H]1C2
8,CC1CNCCC1CNC(=O)c1ccccc1-c1cccc(Cl)c1
9,CCCCCCCOC(=O)C1=C(c2ccccc2)CCN(CC)C1
10,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NC2CCN(Cc3cccc(O)c3)C2)cc1
11,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C1(O)c2ccccc2Oc2ccccc21
12,CN1[C@@H]2CC[C@@H]1CC(CC(c1ccccc1)(c1ccccc1)c1ccccc1)C2
13,COc1ccc(C#CCO/N=C2\CN3CCC2C3)cc1
14,CCN1CC=C(c2ccccc2)C(C(=O)OCCCC2CCCCC2)C1
15,NC(=O)CN1CCCC(c2ccccc2)(C2CCN(Cc3ccc(Br)cc3)CC2)C1
16,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N[C@H]2CC[N+](C)(Cc3ccc4c(c3)OCO4)C2)cc1
17,O=C(Nc1ccc(C(=O)OCC2CC2)cc1)N[C@@H](Cc1ccc(O)cc1)C(=O)NC1CCN(Cc2ccc(O)cc2)C1
18,CCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(Oc4ccccc4)ccc2C1O3
19,Fc1ccc(C#CCO/N=C2\CN3CCC2C3)cc1
20,C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1Br)c1ccccc1)C2
21,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NC2CCN(Cc3cccc(C(F)(F)F)c3)C2)cc1
22,C#CCC#CCC#CCO/N=C1\CN2CCC1C2
23,CCNC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NC2CCN(Cc3ccc(C#N)cc3)C2)cc1
24,CC(C)c1nc(C(=O)N2CCOC3(CCN(Cc4cccc(Cl)c4)CC3)C2)cs1
25,CCCCCCCCOC(=O)C1CN(CC)CC=C1c1ccccc1
26,CCCCN(C(=O)O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)c1ccccc1
27,Cc1nc(C(=O)N2CCCC3(CCN(Cc4ccc(Cl)cc4)CC3)C2)cs1
28,CN1C2CCC1CC(OC(=O)N(Cc1ccsc1)c1ccccc1)C2
29,C[C@H]1CNCC[C@@H]1CNC(=O)c1c(F)cccc1-c1cccc(Cl)c1
30,CCOC(=O)c1c[nH]c2ccc3c(c12)CN1CCc2cc(OC)c(OC)cc2C1O3
31,COc1ccc(CN(C(=O)OC2CC3CCC(C2)N3C)c2ccccc2)cc1
32,C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccsc1)c1ccccc1)C2
33,O=C(O[C@H]1CN2CCC1CC2)N(Cc1cccc(F)c1)c1cccc(F)c1
34,O=C(O[C@H]1C[N+]2(CCCc3ccccc3)CCC1CC2)N(Cc1ccccc1)c1ccccc1
35,O=C(O[C@H]1CN2CCC1CC2)N(Cc1ccsc1)c1ccccc1
36,COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1
37,O=C(c1ccon1)N1CCOC2(CCN(Cc3ccc(Cl)cc3)CC2)C1
38,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(F)cc2)C(=O)N[C@H]2CC[N+](C)(Cc3ccc4c(c3)OCO4)C2)cc1
39,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(Cl)c(Cl)c2)C(=O)N[C@H]2CC[N+](C)(Cc3ccc4c(c3)OCO4)C2)cc1
40,COC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NC2CCN(Cc3ccc(O)cc3)C2)cc1
41,C(#Cc1ccccc1)CO/N=C1\CN2CCC1C2
42,CCCCCc1noc(C2CN(CC)CC=C2c2ccccc2)n1
43,CN1C2CCC1CC(OC(=O)N(Cc1ccccc1Br)c1ccccc1)C2
44,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(C)cc2)C(=O)N[C@H]2CC[N+](C)(Cc3ccc4c(c3)OCO4)C2)cc1
45,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
46,CN1[C@@H]2CC[C@@H]1CC(CC(CNS(=O)(=O)c1ccccc1)(c1ccccc1)c1ccccc1)C2
47,CC(C)COC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NC2CCN(Cc3ccc(O)cc3)C2)cc1
48,CC1(C(=O)O[C@H]2C[N+]3(CCCOc4ccccc4)CCC2CC3)c2ccccc2Oc2ccccc21
49,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H]2CCN(Cc3ccc(O)cc3)C2)cc1
50,Cc1ccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)c(Cl)c1
51,CCCCCCOc1nsnc1C1=CCCN(C)C1
52,CCOc1ccccc1C(=O)N1CCC2(CCN(Cc3ccccc3)CC2)CC1
53,CCN1CC[C@@H](c2ccccc2)[C@@H](C(=O)OCCc2ccccc2)C1
54,CCN1CCC(c2ccccc2)=C(C(=O)OCCCC2CCCCC2)C1
55,CCN1CCN(c2ccc(NC(=O)c3ccc(F)c(F)c3)cc2Cl)CC1
56,CO/N=C1\CN2CCC1C2
57,CCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(OC)c(OC)cc2C1O3
58,O=C(C1CCN(c2cc(Oc3ccc(Cl)cc3)ncn2)CC1)N1CCc2ccccc2C1
59,O=C(NCC1=CCNCC1)c1c(F)cccc1-c1cccc(Cl)c1
60,C[N+]12CCC(CC1)[C@@H](OC(=O)C(O)(c1cccs1)c1cccs1)C2.[Br-]
61,CN1C2CCC1CC(OC(=O)N(Cc1ccoc1)c1ccccc1)C2
62,CN1C2CCC1CC(OC(=O)N(Cc1ccc(C#N)cc1)c1ccccc1)C2
63,CN1C2CCC1CC(OC(=O)N(Cc1cccc(Br)c1)c1ccccc1)C2
64,CCN1CCC(c2ccccc2)=C(C(=O)OCC(c2ccccc2)c2ccccc2)C1
65,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(OC)cc2)C(=O)N[C@H]2CC[N+](C)(Cc3ccc4c(c3)OCO4)C2)cc1
66,O=C(O[C@H]1CN2CCC1CC2)[C@@](O)(c1cccs1)C1CCCC1
67,CN1C2CCC1CC(OC(=O)N(Cc1ccsc1)c1ccsc1)C2
68,Cc1nn(-c2ccccn2)c(=O)cc1-c1ccc(OC2CCN(C3CCC3)CC2)cc1
69,C[N+](C)(C)CCOC(N)=O
70,CCN1CCC(c2ccccc2)=C(C(=O)OCCc2ccc(OC)cc2)C1
71,CCCCCCOC(=O)C1=C(c2ccccc2)CCN(CC)C1
72,CN1CCN(C(=O)[C@@](F)(Cc2ccccc2)c2ccccc2)CC1
73,Nn1c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2c(c1=O)CCCC2
74,C[N+]1(C)C2CCC1CC(OC(=O)N(CC1CCCCC1)c1ccsc1)C2
75,CCCOC(=O)C1=C(c2ccccc2)CCN(CC)C1
76,CC(=O)N1CCCC(c2ccccc2)(C2CCN(Cc3ccc(Br)cc3)CC2)C1
77,O=C1CCCN1CC#CCN1CCCC1
78,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NC2CCN(Cc3ccccc3OC)C2)cc1
79,CCN1CCC(c2ccccc2)=C(C(=O)OCCC2CCCCC2)C1
80,Cc1cccc(CN2CCC3(CC2)CCN(C(=O)c2ccccc2)CC3)c1
81,Clc1cccc(C#CCO/N=C2\CN3CCC2C3)c1
82,CCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3
83,O=C(O[C@H]1CN2CCC1CC2)N(Cc1ccccc1)c1ccc(F)cc1
84,O=C(Nc1ccccc1)N1CCCC(c2ccccc2)(C2CCN(Cc3ccc(Br)cc3)CC2)C1
85,O=C(NCc1cccc(-c2cccc(CN3CCNCC3)c2)c1)c1ccc2c(c1)OCO2
86,COc1cc(OC(C)C)cc(S(=O)(=O)c2ccc3c(c2)O[C@H]2CNCC[C@@H]32)c1
87,CN1C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccsc1)C2
88,C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccc(Br)cc1)c1ccccc1)C2
89,CSc1nsnc1C1=C(C)CCN(C)C1
90,CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC[C@@H]([N+](C)(C)Cc3ccc(Cl)cc3)C2)cc1
91,CC(C)c1nc(C(=O)N2CCOC3(CCN(Cc4ccccc4)CC3)C2)cs1
92,Cc1ccccc1CN1CCC2(CC1)CN(C(=O)c1csc(C(C)C)n1)CCO2
93,CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCCC[N+](C)(C)Cc2ccc(Cl)cc2)cc1
94,O=C(N[C@H]1CN2CCC1CC2)C1(O)c2ccccc2-c2ccccc21
95,CCOC(=O)C1CN(CC)CC=C1c1ccccc1
96,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccccc2Cl)C(=O)N[C@H]2CC[N+](C)(Cc3ccc4c(c3)OCO4)C2)cc1
97,CCCCCCC[N+]12CCC(CC1)[C@@H](OC(=O)C(O)(c1cccs1)c1cccs1)C2.[Br-]
98,O=C(Nc1ccc2[nH]cc(C3CCN(CCCCCCCN4CCC(c5c[nH]c6ccc(NC(=O)c7ccc(F)cc7)cc56)CC4)CC3)c2c1)c1ccc(F)cc1
99,CC(C)O/N=C1\CN2CCC1C2
100,O=C(c1ncccn1)N1CCOC2(CCN(Cc3ccc(Cl)cc3)CC2)C1
101,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NC2CCN(Cc3cccc(C#N)c3)C2)cc1
102,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]2CC[N+](C)(Cc3ccc4c(c3)OCO4)C2)cc1
103,CCN1CC=C(c2ccccc2)C(C(=O)OCC(c2ccccc2)c2ccccc2)C1
104,O=C(O[C@H]1CN2CCC1CC2)C(O)(c1cccs1)c1cccs1
105,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]2CCC[N+](C)(Cc3ccc(F)cc3)C2)cc1
106,CCN1CCN(c2ccc(NC(=O)c3cccc(C(F)(F)F)c3)cc2Cl)CC1
107,O=C(O[C@H]1C[N+]2(CCOc3ccccc3)CCC1CC2)N(Cc1ccccc1)c1ccccc1
108,CN1C2CCC1CC(OC(=O)N(Cc1ccc(Br)cc1)c1ccccc1)C2
109,O=C(C1CN(S(=O)(=O)c2cccc3cnccc23)C1)N1CCN(c2ccncc2)CC1
110,CCN1CC=C(c2ccccc2)C(C(=O)OCCc2ccc(C)cc2)C1
111,C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1cccc(Br)c1)c1ccccc1)C2
112,O=C(NCC1CCNCC1)c1ccccc1-c1cc(Cl)ccc1F
113,CO/N=C/[C@H]1CN2CC[C@H]1C2
114,CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N(CC[N+](C)(C)C)Cc2ccccc2)cc1
115,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NC2CCN(Cc3ccc4c(c3)OCO4)C2)cc1
116,O=C(N[C@H]1CN2CCC1CC2)C1c2ccccc2Oc2ccccc21
117,CCCCN(Cc1cccs1)C(=O)O[C@H]1CN2CCC1CC2
118,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
119,CCCCCCCCCCCCCCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)C(C)C
120,Cc1ccc(CN(C(=O)OC2CC3CCC(C2)[N+]3(C)C)c2ccccc2)s1
121,CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CC[N+](Cc3ccc(Cl)cc3)(CC3CCc4ccccc4C3)CC2)cc1
122,O=C(O[C@H]1CN2CCC1CC2)N(c1ccccc1)c1ccccc1
123,CCN1CC=C(c2ccccc2)C(C(=O)OCC2CCCCC2)C1
124,C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccccc1)C2
125,CC(C)c1nc(C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2)cs1
126,CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC[N+]2(C)CCCCCC2)cc1
127,O=C(C1CN(S(=O)(=O)c2cccc3cnccc23)C1)N1CC2CN(c3ccncc3)CC2C1
128,CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC[N+]2(Cc3ccc(Cl)cc3)CCCC2)cc1
129,O=C(c1ccoc1)N1CCOC2(CCN(Cc3ccc(Cl)cc3)CC2)C1
130,CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(Br)cc2)C(=O)N[C@H]2CC[N+](C)(Cc3ccc4c(c3)OCO4)C2)cc1
131,CCN1CCN(c2ccc(NC(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2Cl)CC1
132,O=C(O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)C1(O)c2ccccc2Oc2ccccc21
133,C[N+]1(C)[C@@H]2C[C@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@H]12
